combination,pca_x,pca_y,accuracy
A1+B1+C1+D1,311.4026287911565,-150.91345552676628,0.08749087093869756
A1+B1+C1+D2,311.4026287911565,150.91345552676626,0.09224505983351065
A1+B1+C2+D1,311.40262879115636,-150.91345552676637,0.08844888596961949
A1+B1+C2+D2,311.40262879115636,150.9134555267664,0.09320307486443268
A1+B2+C1+D1,-311.4026287911565,-150.91345552676626,0.23408740767045702
A1+B2+C1+D2,-311.4026287911565,150.9134555267664,0.23884159656527015
A1+B2+C2+D1,-311.4026287911565,-150.91345552676628,0.23504542270137924
A1+B2+C2+D2,-311.4026287911565,150.91345552676634,0.2397996115961921
