combination,accuracy_original,accuracy_normalized,pls_x,pls_y,pls_z
Combination_668,0.14159447903928524,-1.27717143744426,1.0159674425623815,1.4059418223500864,-0.7001899146869363
Combination_669,0.16822996214735306,0.44797648637230025,-0.37713000209584774,-0.6397339107660873,-0.9976806270482815
Combination_670,0.1492256124521082,-0.7829121852247608,1.0785013674965576,1.9132995668335,-0.5167117183232535
Combination_671,0.14823573907919754,-0.8470250825651079,1.121232273584868,-0.40229479350259045,-0.6399859132418231
Combination_672,0.15766606642516318,-0.23623422227560956,1.8303675843992808,-1.1081665583133813,0.3783078481863691
Combination_673,0.13040898087276187,-2.0016425822153048,1.9844244789933283,-0.4810874811121837,-0.8501669720158086
Combination_674,0.12957342240842243,-2.0557606901592878,1.4376547363899668,-0.7132712255167343,0.6448912571468608
Combination_675,0.1682472138098985,0.4490938556237564,-1.1096632890491132,-1.8505697570591502,-0.4226631180916901
Combination_676,0.15955110775531983,-0.11414238246050415,-0.054817231898035876,-0.21285285840604395,-0.6371281116488847
Combination_677,0.1745722055151372,0.8587558941975727,-1.2356505711649828,-0.21450781261371604,0.6798613436468061
Combination_678,0.15814865452123011,-0.2049775768222259,0.14656924379276073,0.6515573028269979,2.3461361387018655
Combination_679,0.15549979124664778,-0.3765412372251227,1.328712644743591,1.4088485406865108,-0.17270099073049544
Combination_680,0.19373665380604294,2.100013957586392,-1.6261161310604486,0.16724273193148054,-0.9757807572207395
Combination_681,0.18202160694605876,1.341244586446516,-1.5801815413230054,0.8938721363754574,0.49256740747121985
Combination_682,0.18790114722207882,1.7220552764204302,-1.509560497433557,0.4686374899604913,-0.8842454129638512
Combination_683,0.18743646082314466,1.691958102170032,-1.7023097615168152,0.9074783135612872,-0.4211727486267294
Combination_684,0.1479153024473198,-0.8677793744229204,1.1279386870411388,1.2033711290591849,0.4669087715371365
Combination_685,0.1604142120148169,-0.05824016678574569,-0.2497268606403979,0.9021787037410327,-1.7314961819663282
Combination_686,0.14642683641686233,-0.9641855132452113,1.6069825151297967,-0.7343946081550667,0.6981134117438862
Combination_687,0.1704096322179616,0.5891510722305328,-0.13231612161690384,-0.7022426323635762,-1.0691238164193568
Combination_688,0.1534518553894796,-0.509183557913236,1.1382511197890428,-0.45970603353156453,1.1550421459666407
Combination_689,0.16370720277356926,0.1550428492406476,-0.29956353196812374,-1.2105502365923038,-1.3936984574490896
Combination_690,0.16332048053447443,0.12999531902836234,-0.5971650273051108,0.706701443113187,0.21062040038323682
Combination_691,0.13927712121661534,-1.4272638919456058,1.3003832867431921,1.282506616646131,-0.8683301679313702
Combination_692,0.17928278834067463,1.1638546284112716,-0.9509637505481496,0.20157807665401256,0.05920158451053703
Combination_693,0.13422227060077244,-1.7546604332339022,1.2272813062807086,-0.020329096257299728,-0.3071588028843377
Combination_694,0.1846289165043521,1.5101168630629058,-1.4860794065979288,-0.051976698217062745,-0.5716963926770888
Combination_695,0.16218193754444188,0.05625327096933494,-0.2338386848559035,1.4393370599717692,1.0415289864203345
Combination_696,0.1777619806826203,1.0653537616099467,-0.4496202020828067,-1.6673329140386168,-1.5381324363039213
Combination_697,0.15178386800736202,-0.6172170768675364,1.186329720068083,0.28008729164748863,-0.6267644477558769
Combination_698,0.15301023627402954,-0.5377866922001313,0.6293067037533568,1.300874763465295,-1.6008585399297934
Combination_699,0.15197923850677378,-0.6045631666655804,1.0609447189029093,-0.47638692190629933,1.4344974038701186
Combination_700,0.1537393582106948,-0.49056234901312307,-0.17648936600119042,0.16213225881942045,0.6296860926813701
Combination_701,0.15533476701509777,-0.3872296564770979,0.22677741947074573,-0.6331736385307172,1.802825391922081
Combination_702,0.1715295173773317,0.6616846752352815,-1.2468430566843045,-0.830911493320732,0.0930821537474173
Combination_703,0.16491905277479876,0.2335329034707858,-0.40990461798937294,1.4539003184352832,-0.5536026123964262
Combination_704,0.15976938907074914,-0.10000456650300955,0.05311932941660789,0.9266347672121267,-0.1700613302581878
Combination_705,0.1709128077687194,0.6217411421452824,-0.6299651388281681,-0.44833428116458485,-0.868757706899858
Combination_706,0.1375107442876814,-1.5416699824701985,1.6138809868618424,0.5519829693395306,-1.2584961816907887
Combination_707,0.15563638176943823,-0.36769443479060726,0.40654387326174285,-1.3717603206718598,-1.7888808713298374
Combination_708,0.1640717797948367,0.1786560605632625,0.32856997714651803,-0.8024060471574955,0.35945122693583664
Combination_709,0.17158190775023116,0.665077936122227,-0.6414708923843048,0.7282089720607476,0.021893231256800316
Combination_710,0.1411441386431902,-1.3063394384969145,0.9744576373760051,1.0241968928363345,-1.8013218017944608
Combination_711,0.16052465107501068,-0.05108716285378959,-0.054378818348130034,-1.993699804939335,0.8691005179611491
Combination_712,0.16342301350653032,0.13663625522416173,0.04234818241882386,-0.8834104765525063,2.086096829739159
Combination_713,0.1724293636226129,0.719966624749868,-0.5638252934847436,0.48109347202394903,2.369683726858604
Combination_714,0.148870644378143,-0.8059030366892385,0.8632377326926816,-0.35376336250513574,0.3736372642678383
Combination_715,0.1585671567074443,-0.177871697993941,-0.05033824488328094,-0.8077121992041072,-1.1455260919922001
Combination_716,0.1577878509419076,-0.22834638688842313,0.4975755963481765,-1.5919938300741017,-0.8024161370344558
Combination_717,0.15952036697536218,-0.11613342548027154,0.2449927843133904,-0.5439779204947458,1.979881878861949
Combination_718,0.16120391001429624,-0.007092385507799924,0.08075922138875427,-0.20625312468859902,-0.01870957899876191
Combination_719,0.14097177808085024,-1.3175030229929123,1.576660327220868,-1.1749299707492475,0.26703776555582415
Combination_720,0.17910859374999916,1.1525722561252276,-1.3573931437453874,0.22425896561953518,-1.549444657783038
Combination_721,0.14567425460748357,-1.0129293239237802,0.47128448334622586,1.1575248735711692,-0.1660723006941478
Combination_722,0.15681013657525547,-0.2916717601460466,-0.13710504883158414,0.9386965897042975,-1.1869743364618452
Combination_723,0.17911197324691075,1.1527911420398147,-1.0778395194147923,0.5416536335033612,-1.2187239647408104
Combination_724,0.13160623954962092,-1.9240975903608442,1.894831329806127,-0.878633305142876,0.2666630346391361
Combination_725,0.15355558120936055,-0.5024653624111025,0.7735929384652069,0.9907158153539828,2.127499940785297
Combination_726,0.1413584851450296,-1.2924564756414898,1.3351554516497603,0.2735292294140792,1.5632572294738543
Combination_727,0.15846451960078906,-0.18451937886139344,1.0097644841292341,-0.26786923725839423,-0.1704871660378876
Combination_728,0.1822996337738463,1.3592520467496374,-1.6021029867451382,-0.19741755748406598,-0.4927671435332041
Combination_729,0.16669406035344353,0.3484979907054964,-0.3547861567209075,1.187632970403741,0.2997910957588229
Combination_730,0.15616326496098254,-0.33356884974682793,0.5678551457077655,0.9394929441561419,1.0480917755413157
Combination_731,0.15526694147549294,-0.3916226343839098,0.8648466712554386,-0.35186545677677183,0.3174873388163818
Combination_732,0.13665159012497402,-1.5973163551685798,0.9845798850470734,2.025549220975734,0.9505059945730625
Combination_733,0.17070182581769916,0.6080760971641731,-0.757296681033966,0.0805995058941843,0.4061969024643326
Combination_734,0.16007592698074002,-0.08015047799835384,-0.009458811667385849,1.8205327501756152,-0.562419796923713
Combination_735,0.1815929534283339,1.3134812181929953,-0.6693736994961768,-1.9449508885825508,0.7913726885320613
Combination_736,0.17020985895393376,0.5762120003063108,-0.6039622416604448,1.5959516497314092,-1.0816091842830908
Combination_737,0.144096924639079,-1.1150910721874172,1.0917610729491785,-0.23287156717116503,1.5936561545595636
Combination_738,0.1475015653356403,-0.8945766251551044,1.461942368460328,-1.1507250616454718,0.5748047907964748
Combination_739,0.1895323030586347,1.8277032608567736,-1.2960369289507523,0.5319878802861212,-1.1959412551642166
Combination_740,0.14094048289548644,-1.3195299741781699,1.3329008337996036,-1.1978648595603598,1.2267051967252214
Combination_741,0.14503055521082722,-1.054620952838418,1.0789041149802443,0.8430595407932036,-0.5361503288966372
Combination_742,0.16746370450095574,0.3983469083230667,-0.12742134189383275,-1.6350661351243454,-1.4815979914272464
Combination_743,0.1259100058505329,-2.293035735754538,1.486194486369089,-0.7540703453706484,-0.736332344778609
Combination_744,0.1907038911051536,1.9035855971305307,-1.310025837069434,-1.4031567861606393,0.06904717660806786
Combination_745,0.1672853210873742,0.3867932310597366,0.27375474844082487,0.337890592192731,2.3993931613679007
Combination_746,0.1643945692354524,0.19956274098834603,-0.11072279244522504,-0.5539091825837676,-0.727220483154413
