combination,accuracy_original,accuracy_normalized,pls_x
Combination_1,0.1650138744278193,0.23967438688888482,0.24995589698659493
Combination_2,0.18289008719069613,1.3974949981560765,-1.9146027261611822
Combination_3,0.14554502150211687,-1.0212995953585864,-0.511598936697655
Combination_4,0.1478553253266792,-0.871664019755983,0.5009897988905139
Combination_5,0.16352910153098818,0.14350744785065614,-1.310229027871514
Combination_6,0.15246900348158235,-0.5728416834838786,1.2276637332270843
Combination_7,0.15463464327253856,-0.43257582181565146,0.02561841628900796
Combination_8,0.17605520363905927,0.9548078833478315,-0.5323207610087016
Combination_9,0.14226499746396748,-1.2337427726241745,-0.18534229656273316
Combination_10,0.16201585768802398,0.04549648017546722,-0.39004052869205663
Combination_11,0.17439477149621355,0.8472637080743244,0.11670507823239373
Combination_12,0.1460532758251674,-0.9883805795245613,0.6281380179494486
Combination_13,0.16968322058242324,0.5421022719590782,-1.817927313369593
Combination_14,0.1364355532070638,-1.6113088042219128,1.9467526309200918
Combination_15,0.15347729592115292,-0.5075358055440028,0.768006472191458
Combination_16,0.14980783443140294,-0.7452023740414798,0.5864589394662545
Combination_17,0.14763671371973072,-0.8858232282944278,0.6797214591529129
Combination_18,0.14110995646627408,-1.3085533766222006,-0.6337198357223037
Combination_19,0.18858298726471082,1.7662172286984912,-0.5865641170671577
Combination_20,0.14760695771177895,-0.8877504888262076,-0.10358920387773263
Combination_21,0.1672659859118871,0.3855409152029949,-0.5987255097862402
Combination_22,0.14767707643890707,-0.8832089839458591,0.841597431992229
Combination_23,0.15867869649562408,-0.170647401245857,1.030106646751552
Combination_24,0.16055571000045266,-0.04907551393701195,-0.496753091066055
Combination_25,0.14397584596563998,-1.1229331909601203,-0.7323496919907602
Combination_26,0.14890551015139553,-0.8036448228586579,1.064058834870645
Combination_27,0.13637988810237833,-1.6149141655133727,1.111698496522524
Combination_28,0.16054448104797117,-0.04980279956503948,-0.41826108016495417
Combination_29,0.1845602362147573,1.5056685240363212,1.4815548167039605
Combination_30,0.13432556765957718,-1.747970008066454,-1.603893550382009
Combination_31,0.15295123863956764,-0.5416078974018201,1.141218965278335
Combination_32,0.15755637714644347,-0.24333866377120708,-0.024614279727193267
Combination_33,0.17840906466072912,1.1072646057587145,-0.6700619419644291
Combination_34,0.14995962184343006,-0.7353712875296394,-0.8400071035492438
Combination_35,0.1630438941158645,0.11208115228001328,-0.5631054926846926
Combination_36,0.15387081104424197,-0.4820483084772849,1.0163703790782481
Combination_37,0.16873896415303305,0.48094392870306574,0.6651112764614295
Combination_38,0.1649076031193392,0.23279132317864862,-1.462293515428021
Combination_39,0.1436923292484591,-1.1412962247383114,-0.918596522896352
Combination_40,0.15868309008194897,-0.17036283399037483,-2.2026092266088213
Combination_41,0.18372333581638076,1.4514635006529364,-0.5080618608654925
Combination_42,0.1807208169466223,1.2569939964442847,0.33602134601661016
Combination_43,0.1424288528440361,-1.2231300584644695,0.2920750197285209
Combination_44,0.14783031381821152,-0.8732839848127257,-0.649737350481919
Combination_45,0.14696232737993142,-0.9295024132836655,0.9104165473921397
Combination_46,0.17399690821664088,0.8214945861878233,1.1249709752107209
Combination_47,0.17079634939483654,0.6141982745689776,2.210892569101619
Combination_48,0.14333723886835437,-1.1642949978230523,0.21989991460256636
Combination_49,0.17586636249187568,0.9425768713675668,0.4343370016453165
Combination_50,0.1719707998738278,0.6902660071209519,0.781105829856207
Combination_51,0.15906756963261195,-0.1454605599867448,-1.0378978937578167
Combination_52,0.13794341745402636,-1.5136462664526333,-1.374060094346416
Combination_53,0.16975352229395774,0.5466556285174109,0.19879182396952588
Combination_54,0.1608654254641989,-0.029015619130978193,-1.9490777087313775
Combination_55,0.1693480703595578,0.5203949986651365,1.3378588068609436
Combination_56,0.13937302946208868,-1.4210520312527126,0.9909626963160388
Combination_57,0.1836444429132159,1.4463537030364828,0.010348335838974432
Combination_58,0.12642387006963815,-2.2597533737595903,-0.29671850841955827
Combination_59,0.1696358254692291,0.5390325479824487,-0.20349069872234332
Combination_60,0.1898540156088159,1.8485401923950167,-1.7612056635138265
Combination_61,0.18500953083171257,1.534768791242946,1.754575135731982
Combination_62,0.17960241374423533,1.1845563779952601,0.747352614826935
Combination_63,0.15253260907957603,-0.5687220260751242,0.4743901463118772
Combination_64,0.1567755602904183,-0.293911224163204,-0.3909046197444668
Combination_65,0.15962479605327837,-0.10936968080846475,-0.3746030124819547
Combination_66,0.16155256429848844,0.01548952945366508,1.279159925783437
Combination_67,0.16787876456364376,0.425229844986923,-0.9445779273418135
Combination_68,0.15573243905900983,-0.3614729206923067,0.9226450173325504
Combination_69,0.18062604921472974,1.2508560054322237,-0.5326071483591389
Combination_70,0.18382988619299503,1.458364639267626,1.173875472974933
Combination_71,0.15043534145069823,-0.7045595057621474,-0.3003234923511394
Combination_72,0.16505975684103824,0.24264613512349267,-2.1897840650087583
Combination_73,0.18996397570528664,1.8556621744277626,-0.5424710297674734
Combination_74,0.17836534013447608,1.1044326212447022,0.6578493981579088
Combination_75,0.19218069849220534,1.9992366197649798,0.6099309976600528
Combination_76,0.14892514803114099,-0.8023729012143767,1.512633796025545
Combination_77,0.13400372577464426,-1.7688153164596425,-0.4477879346042906
Combination_78,0.15336779928955835,-0.5146277695190455,-0.3919242419923665
Combination_79,0.17149913168359499,0.6597166307192157,-1.0963626793339771
Combination_80,0.16837612438519542,0.4574432371772728,-1.0098676080435687
Combination_81,0.18622099577402823,1.6132339056744307,-0.5645887967073567
Combination_82,0.14779184008666307,-0.8757758817245624,1.0026448910849826
Combination_83,0.16151760872496526,0.01322549936850926,0.6505539450109751
Combination_84,0.14445443623684834,-1.0919354797722265,-1.741458840476957
Combination_85,0.14721180044330012,-0.9133443456573903,-0.7882377920390542
Combination_86,0.17997992132054869,1.2090070856794302,0.7975241501350963
Combination_87,0.1562550831008191,-0.3276219002334644,0.3375489380365132
Combination_88,0.13259902493121326,-1.8597960857513527,-0.5726019313807234
Combination_89,0.18269650647966645,1.3849570103760602,-0.11736594705534675
Combination_90,0.15793072089872556,-0.21909287313084322,0.5367158480016921
Combination_91,0.15609304392690926,-0.33811698092388476,1.294941220090882
Combination_92,0.1568883295730224,-0.28660729455301404,0.590781253246776
Combination_93,0.18119148232350166,1.2874784218418418,-1.8719616708215994
Combination_94,0.1595425581880515,-0.11469612755920068,-1.452372742981257
Combination_95,0.15934540847253517,-0.12746527542950856,-0.087575440973308
Combination_96,0.16698926818541415,0.3676182438036747,-1.0297583867156652
Combination_97,0.15262876398849223,-0.5624941892903159,-0.08823742246815103
Combination_98,0.15820537021487704,-0.20130417015842178,-0.08714136372570835
Combination_99,0.15286594708397952,-0.5471321279721814,-2.3245626845469505
Combination_100,0.16172598456182827,0.0267217494976788,-1.0341989729732106
Combination_101,0.1402663274580401,-1.3631942039021625,0.1384345222314487
Combination_102,0.1970219776171001,2.3128003947129505,-0.08296463739771517
Combination_103,0.17692931180066626,1.0114228084111074,-0.1389950941575564
Combination_104,0.18539772940723778,1.5599119419745737,2.036550542558512
Combination_105,0.1784537742971913,1.1101603946657301,-0.7421596470573404
Combination_106,0.15437494579714825,-0.4493961122031871,0.8783278461815474
Combination_107,0.1865367092131237,1.6336822820664314,-0.4613249557827471
Combination_108,0.15022834959969586,-0.7179661168063272,0.5064972776335084
Combination_109,0.16637128291738562,0.3275920878010558,0.271648427590815
Combination_110,0.16429193490821284,0.19291524014027606,-1.1745287874741526
Combination_111,0.14164214478279352,-1.2740841850705427,0.11760129371422937
Combination_112,0.16202725862258033,0.046234904873815846,0.002735892282951652
Combination_113,0.1883501721555754,1.7511380765566462,-0.9055309889609042
Combination_114,0.14534811822662005,-1.034052781607839,0.44831108889369786
Combination_115,0.15655959703567723,-0.30789890214244753,0.009654109940352873
Combination_116,0.15303096096787835,-0.5364443789250182,-0.9492054889333101
Combination_117,0.13478887907606568,-1.7179618897607811,0.5033849861792983
Combination_118,0.15483169882066267,-0.41981277305308323,-0.570925558303766
Combination_119,0.17309309062304257,0.7629554172612151,0.4705186423411727
Combination_120,0.1558936233551436,-0.3510332093982107,-1.1165401827302268
Combination_121,0.13572641189784046,-1.6572390264122001,-0.17381370552212255
Combination_122,0.16679514074705884,0.35504484515812673,0.7870856496552227
Combination_123,0.1624413389635323,0.0730543861495346,0.04966702437743614
