combination,accuracy_original,accuracy_normalized,pls_x,pls_y
Combination_1,0.1650138744278193,0.23967438688888482,-0.2526486976419725,0.4921738884828514
Combination_2,0.18289008719069613,1.3974949981560765,-1.8397532889908135,0.14518031074022042
Combination_3,0.14554502150211687,-1.0212995953585864,-1.179935687038425,-2.3182257962738677
Combination_4,0.1478553253266792,-0.871664019755983,0.6299967915019756,1.1556216231675425
Combination_5,0.16352910153098818,0.14350744785065614,0.31787456294182803,1.2716177513400666
Combination_6,0.15246900348158235,-0.5728416834838786,1.7592813558188996,0.3605745610183273
Combination_7,0.15463464327253856,-0.43257582181565146,-0.0198478056013784,-1.1398544378859392
Combination_8,0.17605520363905927,0.9548078833478315,0.27319957953846086,0.4246609496540431
Combination_9,0.14226499746396748,-1.2337427726241745,-0.6232297843540315,0.49199318766568284
Combination_10,0.16201585768802398,0.04549648017546722,0.9700921529314158,1.8524463807721223
Combination_11,0.17439477149621355,0.8472637080743244,-0.997522022886318,-0.11712901823547356
Combination_12,0.1460532758251674,-0.9883805795245613,-1.4862628270061717,-0.3526905574893121
Combination_13,0.16968322058242324,0.5421022719590782,-1.6371365009220162,-0.6558408803514112
Combination_14,0.1364355532070638,-1.6113088042219128,-0.7977309125216498,0.6341099518726638
Combination_15,0.15347729592115292,-0.5075358055440028,-0.555170850637082,-0.11495995752560571
Combination_16,0.14980783443140294,-0.7452023740414798,-0.9045063279515947,-0.3970027474314809
Combination_17,0.14763671371973072,-0.8858232282944278,-0.6575676342428385,-1.8547766877823997
Combination_18,0.14110995646627408,-1.3085533766222006,0.08414599447761563,-0.754839221003226
Combination_19,0.18858298726471082,1.7662172286984912,1.6684791989190195,0.4090174743952534
Combination_20,0.14760695771177895,-0.8877504888262076,0.7924293265510971,2.137600979779576
Combination_21,0.1672659859118871,0.3855409152029949,-0.6234803866057581,-0.2766811929470847
Combination_22,0.14767707643890707,-0.8832089839458591,0.10607068143966333,1.094763557338052
Combination_23,0.15867869649562408,-0.170647401245857,-0.6909003525521125,-0.9614666290820202
Combination_24,0.16055571000045266,-0.04907551393701195,-1.4661768072040255,1.611878274126832
Combination_25,0.14397584596563998,-1.1229331909601203,0.3448735351450955,-0.2795341814255516
Combination_26,0.14890551015139553,-0.8036448228586579,-1.225937520099191,1.4497685967306209
Combination_27,0.13637988810237833,-1.6149141655133727,-1.133685915397299,1.2456270666743379
Combination_28,0.16054448104797117,-0.04980279956503948,-1.272793529151696,0.281849940678618
Combination_29,0.1845602362147573,1.5056685240363212,1.138622544807818,-0.33342459031154703
