Model,Optimal Components,R²X,R²Y,Q²,RMSECV,RMSEP,First Comp. Corr.,VIP > 1,p-value,Significant
Agent_B,3,0.066,0.931,0.921,0.283,0.290,-0.938,36/50,0.000,Yes
Agent_C,1,0.088,0.014,-0.021,1.020,0.958,0.117,2/12,0.490,No
Agent_D,2,0.093,0.087,0.031,0.993,0.934,0.292,10/21,0.000,Yes
Global_Combination,3,0.498,0.843,0.840,0.403,0.389,-0.914,4/6,0.000,Yes
