combination,accuracy_original,accuracy_normalized,pls_x,pls_y,pls_z
Combination_510,0.16638424661101592,0.3284317305085135,-0.994699317893258,-1.574367711008942,0.4766381194728011
Combination_511,0.1830112989419225,1.4053457362156012,-1.1863239272792976,1.7227683873490884,-1.316867520658684
Combination_512,0.1460693155651061,-0.9873417050299045,0.7264910237569117,0.5070316582534172,-0.47428641356166457
Combination_513,0.17082752133526258,0.616217243329151,-0.9102097467853119,-1.7448478358788313,-1.32160634918122
Combination_514,0.16755852260437654,0.40448816183789643,-0.2296383945625775,1.0059327628205503,0.934036852456463
Combination_515,0.17090142528601704,0.6210039125511289,-0.2963552585828343,0.929120435660939,-0.030323474535296397
Combination_516,0.13754508370871574,-1.5394458598341607,1.396260873287437,-0.04302012585441481,1.1135470712993425
Combination_517,0.1634723945958486,0.13983460846474718,-0.4114107651994148,-0.8219883928725351,-0.29687478777566967
Combination_518,0.16092567509236555,-0.02511332381608979,0.1527114928961366,-0.2535039985906898,1.5757003613182046
Combination_519,0.1513453159454448,-0.6456215618183939,1.1608309871226867,0.3768555487015852,-0.07365330439296672
Combination_520,0.14599116607844598,-0.992403352461342,1.2226092997893645,1.0797026666202643,-0.6844527819635319
Combination_521,0.16050109700757906,-0.05261273122295481,0.4169123480330243,0.33466190029323784,1.4106063819381742
Combination_522,0.1685677186098114,0.46985256264249736,0.012674102707628053,0.5893024584876208,-1.9512744302835927
Combination_523,0.17779284868137454,1.0673530444368127,-1.4596767828802277,0.15298946351875764,-0.6342040491764781
Combination_524,0.1671287856855248,0.3766546230078899,-0.26015044255042336,-0.16000581322968804,1.2238577425374406
Combination_525,0.18372774255605295,1.4517489198347642,-1.4538275127599944,2.1232463594592517,0.14267762597770595
Combination_526,0.17521459923427327,0.900362955963414,-0.8251119381074715,1.686928273645889,0.21851582123405983
Combination_527,0.15133199648480133,-0.6464842471236398,0.6698847554871209,0.4529072321802714,0.19394945238548558
Combination_528,0.1569890030529777,-0.28008679540443066,-0.3944708300602965,-2.037408768788041,0.8564226752919741
Combination_529,0.1561046297892101,-0.3373665786798991,0.8946694187222377,1.077779452228604,-1.9840101097345222
Combination_530,0.1459096880096252,-0.9976805881207235,1.894168133435292,0.21808204616502316,1.6940489881224998
Combination_531,0.18047853596197658,1.2413017510306779,-1.322634163365078,-1.3690452698946414,-0.03733127541179024
Combination_532,0.15323036915490984,-0.5235289525948987,0.21255514270889542,-0.000747627849177486,-0.19000223854314297
Combination_533,0.15272915490303673,-0.5559919915605502,0.40792473561846126,-0.5625873046416372,-1.3773653631170106
Combination_534,0.15146827918596187,-0.6376573819226106,0.7815339832936996,1.2717806950623567,0.29233434518544155
Combination_535,0.1680435149280707,0.43590052619762304,-0.6585285831281329,-2.5484791508457745,1.4922085764338537
Combination_536,0.18832844803439724,1.7497310315860266,-1.897060267239645,-0.32599427314258755,-1.0546352003209525
Combination_537,0.17873982006205322,1.128687231793703,-1.3520985556912857,1.5292680757277848,-0.3752615029360662
Combination_538,0.1370013400191799,-1.574663478875843,1.5047659605910177,-0.7459445610048094,-0.7972264432473893
Combination_539,0.15811460961549903,-0.20718262405941007,0.040244162782349546,0.11415228742728875,-0.36840925030723665
Combination_540,0.15391821518015827,-0.47897800010988895,-0.001053813251374408,-0.978340099680678,-0.7128710769165366
Combination_541,0.16530200159686728,0.25833603404060057,-0.06063373395166871,1.0251671822666097,0.2654398024109851
Combination_542,0.15174990606499633,-0.6194167506682039,0.6573250930786108,1.1522579071051247,0.23807375832496303
Combination_543,0.17295430444428028,0.7539664048534143,-0.8834897028880832,0.9510412143546935,-0.3922479043450643
Combination_544,0.12653855722222895,-2.2523252260373314,2.2195772509195386,-0.7877404233428328,1.094985015435204
Combination_545,0.16748252734143929,0.3995660408632489,-0.006409407308959059,2.217105067593859,-1.8166765788854033
Combination_546,0.15033844119860898,-0.7108356175199415,1.2707880437797412,0.18242804834785667,-0.40274211966560014
Combination_547,0.13419215839893625,-1.756610764011402,1.7886390938364223,-0.5322936444435955,0.5170673183545258
Combination_548,0.1565063371557019,-0.3113484799477155,0.7864083089263071,-0.3216794198201654,1.0148143957660012
Combination_549,0.1840961821897688,1.4756123078791175,-1.1839632291184552,1.5533648192415976,0.5466401448448818
Combination_550,0.16831417556901415,0.4534308875163186,0.13060759103895334,0.3551164333079531,-0.15850906419829675
Combination_551,0.15052151382938717,-0.6989782253482576,0.6264544656131086,0.9139526209076432,-1.4280984046640361
Combination_552,0.14548631342613794,-1.0251020462086573,1.0843952934680647,-0.8794251812011358,0.8607512486602382
Combination_553,0.1655818908486501,0.2764641212861986,-0.07192702465188322,-0.4415987592018409,0.2539907070395685
