combination,accuracy_original,accuracy_normalized,pls_x,pls_y,pls_z
Combination_1,0.17545288282431085,0.9216427429654478,-1.2373829844531767,-0.62517533795166,0.6768777322965506
Combination_2,0.18295025051765082,1.4064080258634686,-1.2279766337750537,2.3264104161584775,-0.6784616341867541
Combination_3,0.1543767519133106,-0.44109908608245296,0.17392473889414892,0.01393998947676392,0.28356314565220914
Combination_4,0.15063686169362467,-0.6829131486319102,0.9711573139168247,0.5590268926535492,-0.5862954408130505
Combination_5,0.1687777093052613,0.4900389439107569,-0.4553128616365163,-0.08254018368499191,0.2010126881366482
Combination_6,0.15797350293222256,-0.20854012719006038,0.347543136178952,-1.1727499008075943,-0.5177721057808323
Combination_7,0.15823915743343497,-0.19136342135132134,0.25387491083422753,-0.052185209082648454,-1.4816909712395212
Combination_8,0.17541162184279294,0.9189748877666227,-0.7924265356886661,0.3103145068937466,-1.044207806104238
Combination_9,0.14457030828270545,-1.0751647495601417,1.4378637160684489,0.7708784397468353,-0.2920215828697453
Combination_10,0.1657464288047492,0.2940422141946283,-0.019616819688828058,0.7064272881392786,0.8019714647706175
Combination_11,0.18719369152899978,1.6807807079122594,-1.7046679611780462,1.183515726763699,0.0975748427123489
Combination_12,0.14796464697078973,-0.8556933801830525,0.46038214407299727,-1.1024014415694057,0.35955902238445325
Combination_13,0.17797688902870282,1.0848400985913873,-0.9388934357102313,0.5174875262109448,0.41384513258881966
Combination_14,0.13218192183635946,-1.8761738378095634,1.8037883466215316,-1.0360328781379446,-0.5909325771273075
Combination_15,0.15903675694772332,-0.13979218061748633,0.2582565273869103,0.5770811156600838,0.37381583190765266
Combination_16,0.14333022594116349,-1.1553460734197734,1.4875570735780743,0.08734164850245643,-0.5770906070707943
Combination_17,0.14204273869328982,-1.2385925067643053,0.8931391062254636,-1.0777297609822591,0.48347744994452113
Combination_18,0.13955324595171642,-1.3995582886897981,1.5995470812324823,-0.5167905113002573,-0.3198290927459224
Combination_19,0.18083055031077008,1.2693523134485196,-1.2299690470288016,-1.1693418390667225,-0.8930576333631968
Combination_20,0.15176825727253146,-0.6097593004665698,0.8080424326533879,-0.1823239337018427,0.7642728955874087
Combination_21,0.16234179276078117,0.07390503771799835,-0.21721775620106867,0.07688860284127029,-0.4141852520433743
Combination_22,0.15267940979723857,-0.5508459418760271,0.1875818177072657,-1.029107452730095,0.02830373012518328
Combination_23,0.16470731349768847,0.22685502978610123,-0.5633717645370322,-0.0970820753175981,1.6768334979133812
Combination_24,0.16572045140287178,0.29236256567195346,-0.7326658116543252,-0.8761416698038244,2.3668858433993614
Combination_25,0.13207041130075295,-1.8833838931983926,1.6840939639035648,-1.3862727386958857,-1.2339646118870355
Combination_26,0.14904876494395752,-0.7855964104926956,-0.18393480545350488,-0.895187196255989,1.9185159414804358
Combination_27,0.13534331357120166,-1.6717643675292653,1.4914807622436497,-0.7601321368559327,0.7787955425404521
Combination_28,0.15891462567467726,-0.1476889523313052,0.272779088155309,0.7858043843605289,-0.15801927292596538
Combination_29,0.18768197812344914,1.7123523739656425,-2.171110413039114,-1.1643623291260374,-0.7235599193381881
Combination_30,0.1426151775250908,-1.201579719931624,1.0854669929521552,0.7107562314323627,0.8964126025633006
Combination_31,0.1528454595756846,-0.5401094846131601,0.4781537861274085,-0.6523457806570393,0.3077406653116597
Combination_32,0.15725973107625332,-0.25469123379657543,0.7088281525976394,2.118415002769155,1.9185082790500687
Combination_33,0.1765169053364339,0.9904403790420929,-1.2131439323680524,0.40215886658147193,0.43549343561378306
