combination,accuracy_original,accuracy_normalized,pls_x,pls_y,pls_z
Combination_1,0.17545288282431085,0.9216427429654478,-0.9288048130252472,-1.3229026721211952,0.05924385053696382
Combination_2,0.18295025051765082,1.4064080258634686,-0.8797089514879003,-0.7957246143876872,1.171728361006586
Combination_3,0.1543767519133106,-0.44109908608245296,0.5003745023890432,-1.0416195830673454,-1.3345431521140168
Combination_4,0.15063686169362467,-0.6829131486319102,1.1193747293594718,1.1978503464071504,0.8761219710578508
Combination_5,0.1687777093052613,0.4900389439107569,-0.6377996574044055,1.193445284844083,0.981964960334154
Combination_6,0.15797350293222256,-0.20854012719006038,0.45497539704287226,0.6801608296701485,-1.6770356447012977
Combination_7,0.15823915743343497,-0.19136342135132134,0.2846490490658722,-0.9543488834388086,-1.0560163763130004
Combination_8,0.17541162184279294,0.9189748877666227,-1.5538816762841154,1.114098333548258,-0.9975565434036558
Combination_9,0.14457030828270545,-1.0751647495601417,1.5751817739380105,-0.6805962741139593,0.6244457017346444
Combination_10,0.1657464288047492,0.2940422141946283,-0.40992377222682724,1.6519510861201383,1.3272304214842006
Combination_11,0.18719369152899978,1.6807807079122594,-1.1127673505068034,-1.9576393063065824,0.9445284053470653
Combination_12,0.14796464697078973,-0.8556933801830525,1.3981424613144544,-1.2404180667083575,0.3042213263710504
Combination_13,0.17797688902870282,1.0848400985913873,-1.3031696255656673,-1.4584077992094093,0.3344378966317646
Combination_14,0.13218192183635946,-1.8761738378095634,1.7577018472635293,0.11461339292654016,0.6380761190202544
Combination_15,0.15903675694772332,-0.13979218061748633,0.6596042279599137,-0.8119264633838295,2.242724104248069
Combination_16,0.14333022594116349,-1.1553460734197734,1.6282433135447898,-1.2763757712429125,-0.3129416998352767
Combination_17,0.14204273869328982,-1.2385925067643053,1.0551028505881261,-0.5139162059887761,0.7338401951762276
Combination_18,0.13955324595171642,-1.3995582886897981,1.5165184893877983,-0.10025329890220819,-1.495543000130985
Combination_19,0.18083055031077008,1.2693523134485196,-1.3837942966460026,0.9414377887717891,-1.6213330748503414
Combination_20,0.15176825727253146,-0.6097593004665698,0.39908944989114703,1.8107099003504483,0.7863072524702881
Combination_21,0.16234179276078117,0.07390503771799835,-0.6899535429222301,-0.8742188719660009,0.17403824847502242
Combination_22,0.15267940979723857,-0.5508459418760271,0.6997952526568826,0.041448399011407455,-1.0484227177820478
Combination_23,0.16470731349768847,0.22685502978610123,-0.029419818346889497,-1.3482214978229488,1.345779972852078
Combination_24,0.16572045140287178,0.29236256567195346,-0.20256286828315295,-0.33537317993360394,-0.14285868841334246
Combination_25,0.13207041130075295,-1.8833838931983926,0.9792782455516839,1.3931376082931324,-1.3586446547167952
Combination_26,0.14904876494395752,-0.7855964104926956,0.4290759321138155,-0.8645590629477597,1.1167579346292442
Combination_27,0.13534331357120166,-1.6717643675292653,1.9170066336975164,-0.20142920329732644,0.32639813808950935
Combination_28,0.15891462567467726,-0.1476889523313052,0.4117045670975664,0.09591684456218766,1.7967064479144252
Combination_29,0.18768197812344914,1.7123523739656425,-1.5720393920487707,-0.12775019652530817,-0.833909944356147
Combination_30,0.1426151775250908,-1.201579719931624,1.312588612615201,-0.10542609010751347,0.6503168499323136
Combination_31,0.1528454595756846,-0.5401094846131601,0.9326541129777721,-1.7765311730099218,-0.7362008140874482
Combination_32,0.15725973107625332,-0.25469123379657543,0.2233058695225204,-0.07758531929951029,0.6900280327921549
Combination_33,0.1765169053364339,0.9904403790420929,-1.4428208400839138,-1.319774178085582,0.5666372038235467
Combination_34,0.15444113050432307,-0.436936491000921,0.9874656543342122,-0.36334361850794455,-0.5604586424102926
Combination_35,0.1579382699168311,-0.21081822576708018,0.4771603226439923,2.02603239194452,0.39626390273184453
Combination_36,0.16167590000026205,0.030849700746924422,-0.24796588838685724,-1.249411201368794,0.7735693675800481
Combination_37,0.1651999875846533,0.25871038261295853,-0.41715779902430616,-0.3162751771832821,0.6358722365976979
Combination_38,0.1716852038674854,0.6780319144613498,-0.826735038502173,0.8289684280622285,0.09027697685596561
Combination_39,0.14523251701864748,-1.0323476144873027,1.8217413114219627,0.11434153288423965,-0.7347484681049152
Combination_40,0.15905521420716273,-0.1385987699486168,0.368472453028577,-0.5064123620980123,-0.28886543748260624
Combination_41,0.1886311819619095,1.773726056850087,-1.4964501761358353,0.7404781855990539,-1.151814282424266
Combination_42,0.1638157332434687,0.16920717632053528,0.032054520236232696,0.012455310313779444,1.8798272289167115
Combination_43,0.14617725682401567,-0.971262567341868,1.1749273171965389,-0.5989928400338703,-0.0593632037309243
Combination_44,0.14320007431626994,-1.1637614255595923,1.1230190100896296,-0.5078837742514268,-0.7579876482868723
Combination_45,0.15867939077904236,-0.16289878535459906,-0.051607179088862885,-0.6351048099584329,0.8803291260485577
Combination_46,0.17355655180340115,0.7990296497545885,-0.42265892907904085,-1.238979259096617,2.049918662232451
Combination_47,0.1615264559325219,0.021186936595736155,-0.3187892210753969,0.5157337979966163,-1.1972723573830462
Combination_48,0.14921920296937416,-0.7745762176747455,0.7369245009893101,-0.911153326688124,2.1994805225275695
Combination_49,0.17917929526786397,1.1625853585981876,-1.5614591619007672,-0.2193091921416116,-0.4012930060583955
Combination_50,0.1696072281989397,0.5436740299317452,-0.5734619028919112,-0.7818016205278109,-0.012153878485768488
Combination_51,0.1710136840435575,0.6346127424621941,-0.585439852246091,0.41068369452968173,-1.7318657750694535
