combination,accuracy_original,accuracy_normalized,pls_x,pls_y
Combination_1,0.17545288282431085,0.9216427429654478,-0.30753683504390716,-0.40865151676189676
Combination_2,0.18295025051765082,1.4064080258634686,-1.797517131830318,0.004705834656631547
Combination_3,0.1543767519133106,-0.44109908608245296,-1.2512068995834862,2.2915943867526005
Combination_4,0.15063686169362467,-0.6829131486319102,0.3836056806763153,-1.431103326952801
Combination_5,0.1687777093052613,0.4900389439107569,0.1791502126272513,-1.3791853204938245
Combination_6,0.15797350293222256,-0.20854012719006038,1.7524402256239897,-0.6698218441242657
Combination_7,0.15823915743343497,-0.19136342135132134,0.05555047103628159,1.3625346123138287
Combination_8,0.17541162184279294,0.9189748877666227,0.6790916257471689,-0.37789125274802116
Combination_9,0.14457030828270545,-1.0751647495601417,-0.6327547095680054,-0.29619928294793646
Combination_10,0.1657464288047492,0.2940422141946283,0.8617152975302266,-1.8592150236011773
Combination_11,0.18719369152899978,1.6807807079122594,-0.905898280037811,0.10504789983215634
Combination_12,0.14796464697078973,-0.8556933801830525,-1.2490286953151943,0.04483988990333464
Combination_13,0.17797688902870282,1.0848400985913873,-1.110017686118884,0.59365530955933
Combination_14,0.13218192183635946,-1.8761738378095634,-0.4785944474408482,-0.6867503430154491
Combination_15,0.15903675694772332,-0.13979218061748633,-0.043929155658714164,0.03761283915141633
Combination_16,0.14333022594116349,-1.1553460734197734,-0.6286101421965473,0.4856294612029689
Combination_17,0.14204273869328982,-1.2385925067643053,-0.45561894335455866,2.2534839795082107
Combination_18,0.13955324595171642,-1.3995582886897981,-0.02601000822695204,0.28198986531376213
Combination_19,0.18083055031077008,1.2693523134485196,1.9036053849487353,-0.5492119708690701
Combination_20,0.15176825727253146,-0.6097593004665698,1.0091856956596612,-2.16652239113527
Combination_21,0.16234179276078117,0.07390503771799835,-0.4966029720168495,0.41314162463210313
Combination_22,0.15267940979723857,-0.5508459418760271,0.08088514711731039,-0.8340428459513206
Combination_23,0.16470731349768847,0.22685502978610123,-0.6353647655670035,0.8123960959883797
Combination_24,0.16572045140287178,0.29236256567195346,-1.149827121461502,-1.6398729015845606
Combination_25,0.13207041130075295,-1.8833838931983926,0.11137733787867779,0.06792836473302089
Combination_26,0.14904876494395752,-0.7855964104926956,-1.5627374595426133,-1.2221900189630241
Combination_27,0.13534331357120166,-1.6717643675292653,-0.9965518472193531,-1.2891170515409072
Combination_28,0.15891462567467726,-0.1476889523313052,-1.1337218978085408,-0.3552508079126935
Combination_29,0.18768197812344914,1.7123523739656425,0.8237847126004989,0.35186765616436466
Combination_30,0.1426151775250908,-1.201579719931624,-1.454146703173293,-0.6236152918136701
Combination_31,0.1528454595756846,-0.5401094846131601,-0.5193747882812938,-0.02387289066658333
Combination_32,0.15725973107625332,-0.25469123379657543,-0.08617010593137074,0.5786387267262224
Combination_33,0.1765169053364339,0.9904403790420929,-0.6783376924007625,0.5614391131993628
Combination_34,0.15444113050432307,-0.436936491000921,-0.30470064895701243,1.0957948347585262
Combination_35,0.1579382699168311,-0.21081822576708018,0.6264164980181622,-0.5881895964432995
Combination_36,0.16167590000026205,0.030849700746924422,-1.568203442246703,-1.3143960551912988
Combination_37,0.1651999875846533,0.25871038261295853,-0.035429282848385035,-0.07255943326392786
Combination_38,0.1716852038674854,0.6780319144613498,0.8677970232150541,1.0680465669335986
Combination_39,0.14523251701864748,-1.0323476144873027,-0.5031254619660884,-0.48278773623668514
Combination_40,0.15905521420716273,-0.1385987699486168,-0.6740809201417494,1.22111102621128
Combination_41,0.1886311819619095,1.773726056850087,2.1061161939769204,-0.3211324831933474
Combination_42,0.1638157332434687,0.16920717632053528,-0.7408612578887717,-1.051960480060118
Combination_43,0.14617725682401567,-0.971262567341868,-0.1643006700651716,1.4844619722533707
Combination_44,0.14320007431626994,-1.1637614255595923,-0.4264307170047471,0.8059297586007567
Combination_45,0.15867939077904236,-0.16289878535459906,-1.0759843762462973,-1.7514262554236344
Combination_46,0.17355655180340115,0.7990296497545885,-0.5905668304064718,0.6531537371482782
Combination_47,0.1615264559325219,0.021186936595736155,0.9737720841770346,-0.5516646553632747
Combination_48,0.14921920296937416,-0.7745762176747455,-1.9346532982055071,-0.049406570623741985
Combination_49,0.17917929526786397,1.1625853585981876,1.4545624869751794,1.0526126803883529
Combination_50,0.1696072281989397,0.5436740299317452,0.06860250322335074,1.328200007591536
Combination_51,0.1710136840435575,0.6346127424621941,1.2102422341191397,0.7491678983563873
Combination_52,0.14096590467087422,-1.3082185102980817,0.9426434013191957,0.9768922232420987
Combination_53,0.16536621585339523,0.269458380712867,-0.19654065934351578,-0.44232845869361204
Combination_54,0.15335450663120104,-0.5071954873318159,0.8531966857789526,-1.544807136767372
Combination_55,0.18408388334506753,1.4797065301869683,2.239159912215781,1.2486595816156045
Combination_56,0.1421265887205945,-1.233170926301676,-1.00608888319293,-0.0723418667511393
Combination_57,0.17922819527822187,1.165747138615449,-0.16415019363194408,1.0820901532147786
Combination_58,0.1284840368706209,-2.1152719219455447,-1.8409633934982514,1.7929275568856164
Combination_59,0.16992963087559776,0.5645199629511514,0.2870438535532688,-0.9760160148580307
Combination_60,0.18705488514148266,1.6718057555736456,0.997883452616017,-0.2661769453273386
Combination_61,0.1759154830621281,0.9515535789183617,-0.7897987487872524,1.0226605510318445
Combination_62,0.1840790304087254,1.4793927487165897,0.8347340456377405,-0.10590945304519185
Combination_63,0.15990687394539832,-0.08353209977511378,-0.7033418063145356,-1.36677626884215
Combination_64,0.15635473521265839,-0.31320651459664234,-1.159689478163332,0.7565698889372124
Combination_65,0.15588690347547676,-0.3434556091721934,0.1971349142436282,-0.44284699367692615
Combination_66,0.16021420628264996,-0.06366058573107877,0.042590407517433634,-2.398456610524931
Combination_67,0.1689289589099349,0.4998184505852058,0.3105887374287351,0.04490168531828888
Combination_68,0.15259150237268945,-0.5565298657908491,-0.8406389748379599,1.0312140342323906
Combination_69,0.18489764192308855,1.5323225847037387,-0.49316362691888005,-2.313005486613892
Combination_70,0.18668395396768311,1.647822063862438,0.32908614998819674,0.08585769104827815
Combination_71,0.15789066717595931,-0.2138961268504074,0.007112988001904685,-0.3026786072242751
Combination_72,0.16259571035246562,0.09032285770501015,-0.3745224145714304,-0.7307864303770064
Combination_73,0.1748838629755839,0.8848510209604373,-0.1857554017459855,-1.2509266311179985
Combination_74,0.17467211695268767,0.8711599329825858,0.5797334837213504,0.3511757531605018
Combination_75,0.19043015032781435,1.8900438692467143,2.1143454336240506,0.5031550620271463
Combination_76,0.14579207883919731,-0.996167430276952,-1.0802493094923296,-0.3474497569453616
Combination_77,0.13230474920739996,-1.8682320577468143,-0.2329720989611216,-0.7119668142918777
Combination_78,0.15140540221582433,-0.6332208060789817,0.5261490786309112,0.8286714018622665
Combination_79,0.1766837351038516,1.001227268882095,0.33883885028274535,0.33332047912341534
Combination_80,0.15451164521227045,-0.4323771464756481,-0.6284747035751049,0.10201167293775287
Combination_81,0.18388416558224288,1.4667931662230458,1.5923679976455216,-0.5749296042416183
Combination_82,0.14105982674030834,-1.3021456910871412,0.8457725437208559,-0.5205945519227074
Combination_83,0.1521901163972034,-0.5824827060297829,0.5712789549869085,1.179750372983197
Combination_84,0.13491241789078204,-1.6996252481692409,0.9526526148107982,0.0745047218442823
Combination_85,0.15020322294412275,-0.7109513908091716,-0.11294694839029709,0.13774110440845652
Combination_86,0.18271412602689902,1.3911406733418454,-0.5898636307449109,0.4940994284784165
Combination_87,0.15007982729091052,-0.7189299148971593,-1.032074905071492,-1.9731837322411432
Combination_88,0.13601549508153254,-1.6283024121680754,-1.6250872207337095,0.910637544168342
Combination_89,0.19076397319976707,1.9116282099885642,-0.2228062353898671,-0.5283016416009617
Combination_90,0.160602721946031,-0.03853991496065204,1.3296674820918652,0.12068051096145122
Combination_91,0.15740261070455766,-0.24545291359295998,-0.8658304865375863,1.1413615163592787
Combination_92,0.16673315995987592,0.3578423407356008,-0.2626210483414058,-0.5442796887098629
Combination_93,0.18976952597223426,1.8473291771412987,0.06500625259425477,1.2745274101430726
Combination_94,0.16191278065093703,0.04616594510553191,-0.4767128413366334,0.8951594795179778
Combination_95,0.15745531601560325,-0.2420450901988985,0.8533116770511991,-0.3498212609271165
Combination_96,0.1692142660510574,0.5182658580802313,-1.3962168945713103,2.452282848102993
