agent_id,pca_x,pca_y,accuracy,accuracy_normalized,pca_z
D5,3.8537699129519827,0.6750126263763486,0.1683849562584863,0.05522370474063297,1.3062964248356237
D6,-5.048295067845001,-2.583293097258464,0.1772339027753107,0.21110652999963694,0.24575751061624632
D7,0.41099510601674466,2.9071571771047995,0.16895781927414946,0.06531524560351241,0.26836233425523925
D8,-1.2810282926229075,-0.7008173262336059,0.18144723930117368,0.2853285631162046,-0.4976237556446618
D9,-0.8706017875745025,1.7770989825298422,0.1756802830943923,0.18373800372601842,-3.579102470889526
D10,1.0470148782304571,-1.612784278725635,0.17774651850184311,0.22013675609176453,-0.23736905188070126
D1,-0.3604927918772134,0.2784400490231789,0.16255218908263053,-0.04752617907001856,2.7971770615255305
D2,3.5097615228260888,-2.799590389174045,0.17494934868730486,0.17086188110066733,-2.164241259036194
D3,-1.5971947282123482,2.7233882835404373,0.1508770927921159,-0.25319438957124507,-0.2949782149641217
D4,0.3360712481066994,-0.6646120271828578,0.17343028609863637,0.14410211171832527,2.1557214211825655
D5,3.8537699129519827,0.6750126263763486,0.15816054077729902,-0.12488934812945433,1.3062964248356237
D6,-5.048295067845001,-2.583293097258464,0.16700948729412352,0.030993477129551104,0.24575751061624632
D7,0.41099510601674466,2.9071571771047995,0.15873340379296244,-0.11479780726657049,0.26836233425523925
D8,-1.2810282926229075,-0.7008173262336059,0.17122282381998638,0.10521551024611676,-0.4976237556446618
D9,-0.8706017875745025,1.7770989825298422,0.1654558676132052,0.003624950855934034,-3.579102470889526
D10,1.0470148782304571,-1.612784278725635,0.16752210302065584,0.04002370322167722,-0.23736905188070126
D1,-0.3604927918772134,0.2784400490231789,0.16939674660979617,0.07304737880534924,2.7971770615255305
D2,3.5097615228260888,-2.799590389174045,0.18179390621447014,0.2914354389760288,-2.164241259036194
D3,-1.5971947282123482,2.7233882835404373,0.1577216503192812,-0.13262083169588315,-0.2949782149641217
D4,0.3360712481066994,-0.6646120271828578,0.1802748436258017,0.26467566959368766,2.1557214211825655
D5,3.8537699129519827,0.6750126263763486,0.16500509830446441,-0.004315790254090936,1.3062964248356237
D6,-5.048295067845001,-2.583293097258464,0.17385404482128886,0.15156703500491353,0.24575751061624632
D7,0.41099510601674466,2.9071571771047995,0.1655779613201277,0.005775750608790465,0.26836233425523925
D8,-1.2810282926229075,-0.7008173262336059,0.178067381347152,0.22578906812148408,-0.4976237556446618
D9,-0.8706017875745025,1.7770989825298422,0.1723004251403705,0.12419850873129597,-3.579102470889526
D10,1.0470148782304571,-1.612784278725635,0.17436666054782118,0.16059726109703965,-0.23736905188070126
D1,-0.3604927918772134,0.2784400490231789,0.16706207779800042,0.0319199101586738,2.7971770615255305
D2,3.5097615228260888,-2.799590389174045,0.1794592374026747,0.2503079703293587,-2.164241259036194
D3,-1.5971947282123482,2.7233882835404373,0.15538698150748587,-0.17374830034255126,-0.2949782149641217
D4,0.3360712481066994,-0.6646120271828578,0.1779401748140063,0.2235482009470186,2.1557214211825655
D5,3.8537699129519827,0.6750126263763486,0.16267042949266883,-0.04544325890076344,1.3062964248356237
D6,-5.048295067845001,-2.583293097258464,0.17151937600949324,0.11043956635824054,0.24575751061624632
