combination,pca_x,pca_y,accuracy,accuracy_normalized,pca_z
A1+B1+C1+D1,-1.5268753786016187,-0.551766696104497,0.16286861447848822,-0.041952037041222974,1.7916311606478121
A1+B1+C1+D2,-1.5268753786016187,-0.06766121600472168,0.17526577408316243,0.17643602312946097,1.7916311606478132
A1+B1+C1+D3,-1.5268753786016183,0.6758717299825032,0.15119351818797347,-0.24762024754245143,1.7916311606478141
A1+B1+C1+D4,-1.526875378601619,-1.4882706096360927,0.17374671149449422,0.1496762537471238,1.7916311606478104
A1+B1+C1+D5,-1.5268753786016178,1.4442330585140604,0.15847696617315668,-0.11931520610065924,1.7916311606478164
A1+B1+C1+D6,-1.5268753786016187,0.04800842548685013,0.16732591268998095,0.03656761915834229,1.791631160647814
A1+B1+C1+D7,-1.526875378601618,1.927681552349669,0.15904982918881985,-0.1092236652377798,1.7916311606478177
A1+B1+C1+D8,-1.526875378601619,-1.1796385277049213,0.17153924921584401,0.11078965227491137,1.7916311606478117
A1+B1+C1+D9,-1.5268753786016183,0.8021162493512396,0.16577229300906263,0.009199092884725224,1.7916311606478152
A1+B1+C1+D10,-1.526875378601619,-1.6105739662341267,0.1678385284165135,0.04559784525047232,1.7916311606478095
A1+B1+C2+D1,-1.5268753786016234,-0.5517666961044932,0.1691264787355977,0.06828634654837912,-0.32281272392865196
A1+B1+C2+D2,-1.5268753786016234,-0.0676612160047179,0.18152363834027185,0.2866744067190621,-0.32281272392865074
A1+B1+C2+D3,-1.526875378601623,0.675871729982507,0.15745138244508305,-0.1373818639528474,-0.32281272392864974
A1+B1+C2+D4,-1.5268753786016236,-1.4882706096360891,0.18000457575160347,0.25991463733672193,-0.32281272392865346
A1+B1+C2+D5,-1.5268753786016225,1.444233058514064,0.16473483043026604,-0.009076822511059105,-0.3228127239286476
A1+B1+C2+D6,-1.5268753786016234,0.048008425486853905,0.1735837769470905,0.14680600274794586,-0.3228127239286502
A1+B1+C2+D7,-1.5268753786016227,1.9276815523496726,0.16530769344592927,0.0010147183518213188,-0.3228127239286462
A1+B1+C2+D8,-1.5268753786016236,-1.1796385277049175,0.1777971134729536,0.22102803586451542,-0.32281272392865246
A1+B1+C2+D9,-1.526875378601623,0.8021162493512434,0.17203015726617224,0.11943747647432976,-0.32281272392864857
A1+B1+C2+D10,-1.5268753786016236,-1.610573966234123,0.17409639267362295,0.15583622884007392,-0.32281272392865423
A1+B1+C3+D1,-1.5268753786016231,-0.5517666961044926,0.16581460673603046,0.009944490463345843,-0.15263554433624069
A1+B1+C3+D2,-1.5268753786016231,-0.06766121600471724,0.17821176634070474,0.22833255063403077,-0.15263554433623946
A1+B1+C3+D3,-1.5268753786016227,0.6758717299825076,0.1541395104455159,-0.19572372003787922,-0.15263554433623844
A1+B1+C3+D4,-1.5268753786016234,-1.4882706096360883,0.17669270375203616,0.2015727812516872,-0.15263554433624218
A1+B1+C3+D5,-1.5268753786016223,1.4442330585140644,0.161422958430699,-0.06741867859608895,-0.1526355443362363
A1+B1+C3+D6,-1.5268753786016231,0.04800842548685457,0.1702719049475234,0.08846414666291454,-0.15263554433623885
A1+B1+C3+D7,-1.5268753786016225,1.9276815523496735,0.16199582144636218,-0.057327137733209514,-0.1526355443362349
A1+B1+C3+D8,-1.5268753786016234,-1.1796385277049168,0.1744852414733862,0.16268617977947922,-0.15263554433624116
A1+B1+C3+D9,-1.5268753786016227,0.802116249351244,0.1687182852666049,0.06109562038929453,-0.15263554433623724
A1+B1+C3+D10,-1.5268753786016234,-1.6105739662341223,0.1707845206740557,0.09749437275504015,-0.15263554433624296
A1+B1+C4+D1,-1.5268753786016223,-0.5517666961044916,0.1707195923252679,0.09635059655194068,-0.47054161638776776
A1+B1+C4+D2,-1.5268753786016223,-0.06766121600471624,0.183116751929942,0.3147386567226227,-0.47054161638776654
A1+B1+C4+D3,-1.5268753786016218,0.6758717299825087,0.15904449603475315,-0.10931761394928778,-0.47054161638776554
A1+B1+C4+D4,-1.5268753786016225,-1.4882706096360874,0.18159768934127365,0.28797888734028304,-0.47054161638776926
A1+B1+C4+D5,-1.5268753786016214,1.4442330585140657,0.16632794401993617,0.018987427492501003,-0.47054161638776343
A1+B1+C4+D6,-1.5268753786016223,0.04800842548685557,0.17517689053676078,0.17487025275150841,-0.470541616387766
A1+B1+C4+D7,-1.5268753786016216,1.9276815523496744,0.16690080703559937,0.029078968355380937,-0.470541616387762
A1+B1+C4+D8,-1.5268753786016225,-1.179638527704916,0.17939022706262361,0.24909228586807358,-0.47054161638776826
A1+B1+C4+D9,-1.5268753786016218,0.8021162493512451,0.17362327085584223,0.14750172647788742,-0.47054161638776437
A1+B1+C4+D10,-1.5268753786016225,-1.6105739662341212,0.17568950626329297,0.18390047884363206,-0.47054161638777003
A1+B1+C5+D1,-1.5268753786016223,-0.5517666961044922,0.16049517684408057,-0.0837624563181476,0.0006153537281752422
A1+B1+C5+D2,-1.5268753786016223,-0.0676612160047169,0.1728923364487548,0.13462560385253633,0.0006153537281764763
A1+B1+C5+D3,-1.5268753786016218,0.675871729982508,0.1488200805535659,-0.2894306668193746,0.0006153537281774976
A1+B1+C5+D4,-1.5268753786016225,-1.4882706096360883,0.17137327386008638,0.10786583447019572,0.0006153537281737098
A1+B1+C5+D5,-1.5268753786016214,1.4442330585140648,0.15610352853874906,-0.16112562537758338,0.0006153537281796009
A1+B1+C5+D6,-1.5268753786016223,0.048008425486855015,0.16495247505557353,-0.00524280011857842,0.0006153537281770303
A1+B1+C5+D7,-1.5268753786016216,1.927681552349674,0.15667639155441232,-0.15103408451470246,0.0006153537281810079
A1+B1+C5+D8,-1.5268753786016225,-1.1796385277049164,0.16916581158143648,0.06897923299798871,0.0006153537281747678
A1+B1+C5+D9,-1.5268753786016218,0.8021162493512445,0.1633988553746549,-0.03261132639220087,0.000615353728178645
A1+B1+C5+D10,-1.5268753786016225,-1.610573966234122,0.16546509078210592,0.0037874259735486714,0.0006153537281729567
A1+B1+C6+D1,-1.5268753786016236,-0.5517666961044926,0.16733973437124616,0.03681110155721923,-0.48240113524805905
A1+B1+C6+D2,-1.5268753786016236,-0.06766121600471724,0.1797368939759204,0.25519916172790363,-0.48240113524805783
A1+B1+C6+D3,-1.5268753786016231,0.6758717299825077,0.15566463808073144,-0.16885710894400877,-0.48240113524805683
A1+B1+C6+D4,-1.5268753786016238,-1.4882706096360883,0.17821783138725203,0.22843939234556354,-0.48240113524806055
A1+B1+C6+D5,-1.5268753786016227,1.4442330585140648,0.1629480860659145,-0.040552067502219485,-0.4824011352480547
A1+B1+C6+D6,-1.5268753786016236,0.04800842548685457,0.17179703258273904,0.11533075775678694,-0.4824011352480573
A1+B1+C6+D7,-1.526875378601623,1.9276815523496735,0.16352094908157777,-0.030460526639338084,-0.4824011352480533
A1+B1+C6+D8,-1.5268753786016238,-1.1796385277049168,0.17601036910860193,0.18955279087335308,-0.48240113524805955
A1+B1+C6+D9,-1.5268753786016231,0.802116249351244,0.17024341290182057,0.08796223148316742,-0.48240113524805567
A1+B1+C6+D10,-1.5268753786016238,-1.6105739662341223,0.1723096483092713,0.12436098384891207,-0.48240113524806133
A1+B1+C7+D1,-1.526875378601623,-0.5517666961044896,0.1650050655594504,-0.0043163670894562165,-0.768449051230727
A1+B1+C7+D2,-1.526875378601623,-0.06766121600471424,0.17740222516412463,0.21407169308122773,-0.7684490512307258
A1+B1+C7+D3,-1.5268753786016225,0.6758717299825107,0.15332996926893563,-0.20998457759068517,-0.7684490512307247
A1+B1+C7+D4,-1.5268753786016231,-1.4882706096360856,0.17588316257545625,0.1873119236988876,-0.7684490512307287
A1+B1+C7+D5,-1.526875378601622,1.4442330585140675,0.16061341725411887,-0.08167953614889248,-0.7684490512307226
A1+B1+C7+D6,-1.526875378601623,0.04800842548685768,0.1694623637709434,0.07420328911011345,-0.7684490512307253
A1+B1+C7+D7,-1.5268753786016223,1.9276815523496766,0.16118628026978218,-0.07158799528601059,-0.7684490512307213
A1+B1+C7+D8,-1.5268753786016231,-1.1796385277049137,0.17367570029680632,0.1484253222266801,-0.7684490512307274
A1+B1+C7+D9,-1.5268753786016225,0.8021162493512471,0.16790874409002485,0.04683476283649247,-0.7684490512307236
A1+B1+C7+D10,-1.5268753786016231,-1.6105739662341194,0.16997497949747567,0.08323351520223858,-0.7684490512307293
A1+B1+C8+D1,-1.5268753786016265,-0.5517666961044884,0.16652350368544702,0.022432401773742033,-2.1978371670587866
A1+B1+C8+D2,-1.5268753786016265,-0.0676612160047129,0.17892066329012124,0.24082046194442597,-2.1978371670587853
A1+B1+C8+D3,-1.526875378601626,0.6758717299825119,0.15484840739493233,-0.18323580872748546,-2.1978371670587844
A1+B1+C8+D4,-1.5268753786016267,-1.4882706096360843,0.17740160070145294,0.21406069256208732,-2.197837167058788
A1+B1+C8+D5,-1.5268753786016256,1.4442330585140688,0.16213185538011546,-0.05493076728569472,-2.1978371670587826
A1+B1+C8+D6,-1.5268753786016265,0.04800842548685879,0.17098080189693984,0.10095205797330876,-2.1978371670587853
A1+B1+C8+D7,-1.5268753786016258,1.9276815523496775,0.16270471839577888,-0.04483922642281087,-2.197837167058781
A1+B1+C8+D8,-1.5268753786016267,-1.1796385277049126,0.17519413842280293,0.17517409108987833,-2.197837167058787
A1+B1+C8+D9,-1.526875378601626,0.8021162493512483,0.16942718221602152,0.0735835316996917,-2.197837167058783
A1+B1+C8+D10,-1.5268753786016267,-1.610573966234118,0.17149341762347253,0.10998228406544124,-2.1978371670587893
